dataSoleil.txt	0.	0.	0.	0.	0.	0.1.9891e30
dataMercure.txt	6.02E+09	57.25E+09	7.07E+09	-46.39E+03	4.88E+03	5.73E+03	3.3e23
dataVenus.txt	-26.09E+09	-104.65E+09	5.65E+09	33.91E+03	-8.46E+03	1.83E+03	4.9e24	
dataTerre.txt	150e9	0	0	1.78e-12	29e3	0	5.9736e24
dataMars.txt	206.1e9	97.42e9	3.98E9	-10.26e3	21.69e3	418.86	641e21
dataJupiter.txt	768.58e9	119.94e9	13.58e9	-2e3	12.84e3	226.88	1.89e27
dataSaturne.txt	1.13E+12	827.13E+09	48.86E+09	-5.32E+03	7.25E+03	314.10E+00	68.00E+24
dataUranus.txt	-2.46E+12	1.34E+12	39.09E+09	-2.86E+03	-5.27E+03	83.77E+00	8.7e25
dataNeptune.txt	-1.32E+12	4.30E+12	78.54E+09	-5.16E+03	-1.58E+03	94.24E+00	102.00E+24
dataPluton.txt	3.01E+12	3.72E+12	1.46E+12	-2.97E+03	2.41E+03	1.17E+03	1.3e24
dataHalley.txt	-738.25E+09	-2.41E+12	820.44E+09	909.50E+00	-278.06E+00	309.02E+00	2.2e14
